"","subNr","age","gender","hand","iBlock","iTrial","cTarLoc","cTarSymNr","correct","response_time_search_resp"
"494",28685,20,0,1,6,53,1,1,1,1161
"495",28685,20,0,1,6,54,4,1,1,1081
"496",28685,20,0,1,6,55,0,1,1,1121
"497",28685,20,0,1,6,56,7,0,1,1485
"498",28685,20,0,1,6,57,7,1,1,797
"499",28685,20,0,1,6,58,6,0,1,1978
"500",28685,20,0,1,6,59,2,0,1,2150
"501",28685,20,0,1,6,60,3,1,1,2920
"502",28685,20,0,1,6,61,1,1,0,3015
"503",28685,20,0,1,6,62,3,0,1,1330
"504",28685,20,0,1,6,63,7,0,1,1805
"505",28685,20,0,1,7,0,5,1,1,1506
"506",28685,20,0,1,7,1,6,1,1,2367
"507",28685,20,0,1,7,2,2,1,1,2530
"508",28685,20,0,1,7,3,3,0,1,999
"509",28685,20,0,1,7,4,1,0,1,1840
"510",28685,20,0,1,7,5,7,1,1,1732
"511",28685,20,0,1,7,6,5,1,1,1360
"512",28685,20,0,1,7,7,1,0,1,1616
"513",28685,20,0,1,7,8,3,0,1,1451
"514",28685,20,0,1,7,9,6,1,1,2298
"515",28685,20,0,1,7,10,2,1,1,1500
"516",28685,20,0,1,7,11,7,1,1,1790
"517",28685,20,0,1,7,12,5,1,1,1152
"518",28685,20,0,1,7,13,7,0,1,1994
"519",28685,20,0,1,7,14,6,1,1,1866
"520",28685,20,0,1,7,15,2,0,1,2765
"521",28685,20,0,1,7,16,7,0,0,2281
"522",28685,20,0,1,7,17,5,0,1,2069
"523",28685,20,0,1,7,18,4,0,1,2333
"524",28685,20,0,1,7,19,0,1,1,2794
"525",28685,20,0,1,7,20,1,0,1,1102
"526",28685,20,0,1,7,21,4,0,1,1695
"527",28685,20,0,1,7,22,0,0,1,342
"528",28685,20,0,1,7,23,6,0,1,1452
"529",28685,20,0,1,7,24,2,1,1,2327
"530",28685,20,0,1,7,25,7,1,1,1897
"531",28685,20,0,1,7,26,3,1,0,1309
"532",28685,20,0,1,7,27,1,1,1,828
"533",28685,20,0,1,7,28,1,0,1,708
"534",28685,20,0,1,7,29,6,0,1,1403
"535",28685,20,0,1,7,30,2,1,1,2414
"536",28685,20,0,1,7,31,4,0,1,1017
"537",28685,20,0,1,7,32,0,0,1,1225
"538",28685,20,0,1,7,33,1,1,1,1479
"539",28685,20,0,1,7,34,6,1,1,1868
"540",28685,20,0,1,7,35,2,0,1,1862
"541",28685,20,0,1,7,36,4,0,1,644
"542",28685,20,0,1,7,37,0,1,1,721
"543",28685,20,0,1,7,38,5,0,1,2379
"544",28685,20,0,1,7,39,7,0,1,1290
"545",28685,20,0,1,7,40,4,1,1,788
"546",28685,20,0,1,7,41,0,0,1,956
"547",28685,20,0,1,7,42,5,1,1,1627
"548",28685,20,0,1,7,43,1,1,1,1566
"549",28685,20,0,1,7,44,4,1,1,1731
"550",28685,20,0,1,7,45,0,1,1,1924
"551",28685,20,0,1,7,46,1,1,1,1288
"552",28685,20,0,1,7,47,3,0,1,1650
"553",28685,20,0,1,7,48,3,0,1,1121
"554",28685,20,0,1,7,49,3,1,1,955
